任务ID,来源,任务类型,任务域,子类,任务名称,任务层级,主验证层,T映射,PA映射,G映射,优先级,任务性质,推荐场景/触发,核心证据,通过判据,典型失败信号,失败优先追因,关联旧场景/备注
LEGACY-E063,继承-320场景,SYS,未分类,能量与睡眠,baseline attention decay 直接改基线,场景级,G,T2/T3,PA1,G0,P1,极端,baseline attention decay 直接改基线,E_COMBO + E_FIELD + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I02,文档内部显式自相矛盾。,E063
LEGACY-E064,继承-320场景,SYS,未分类,能量与睡眠,recovering 中仍允许 too many urgent wakeups,场景级,G,T2/T3,PA1,G0,P1,极端,recovering 中仍允许 too many urgent wakeups,E_ENERGY + E_STORM,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I06,I13",局部机制有，但系统级 wakeup budget 不足。,E064
LEGACY-E065,继承-320场景,SYS,未分类,能量与睡眠,负能量或 >100 能量边界输入,场景级,G,T2/T3,PA1,G0,P1,极端,负能量或 >100 能量边界输入,E_ACTIVITY + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,需要统一 state sanitizer。,E065
LEGACY-E066,继承-320场景,SYS,未分类,能量与睡眠,活动 preset 非法但能量恢复线程仍在跑,场景级,G,T2/T3,PA1,G0,P1,极端,活动 preset 非法但能量恢复线程仍在跑,E_ACTIVITY,沿既定规则闭环；无新增未解释断点；与原文证据一致。,,LLM 只允许 preset 名称，非法 preset 应被拒绝。,E066
LEGACY-E067,继承-320场景,SYS,未分类,能量与睡眠,多次 power nap 导致 sleep_target_hours 频繁切换,场景级,G,T2/T3,PA1,G0,P1,极端,多次 power nap 导致 sleep_target_hours 频繁切换,E_SLEEP,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I14,粗粒度小时模型能跑，但对碎片化睡眠并不精细。,E067
LEGACY-E068,继承-320场景,SYS,未分类,能量与睡眠,休息时 physical activity=exercising 的兼容性错误,场景级,G,T2/T3,PA1,G0,P1,极端,休息时 physical activity=exercising 的兼容性错误,E_ACTIVITY,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I11,Activity 仍是合并近似，没有底层传感器冲突解决。,E068
LEGACY-E069,继承-320场景,SYS,未分类,能量与睡眠,recovering 中仍被 mission_locked 场强行留住,场景级,G,T2/T3,PA1,G0,P1,极端,recovering 中仍被 mission_locked 场强行留住,E_ENERGY + E_COMBO + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,,这是 P0>P2 的重要极端场景。,E069
LEGACY-E070,继承-320场景,SYS,未分类,能量与睡眠,sleep_debt 被写入 durable 还是 ephemeral 不明确,场景级,G,T2/T3,PA1,G0,P1,极端,sleep_debt 被写入 durable 还是 ephemeral 不明确,E_SLEEP + E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,字段重要，但 durability 边界未完全写死。,E070
LEGACY-E071,继承-320场景,SYS,写回与恢复,写回与崩溃,Action 发出成功但 ActionReceipt 丢失,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,Action 发出成功但 ActionReceipt 丢失,E_WRITE + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,Split-Brain 防护保护了“别乱写”，但 receipt 丢失补偿策略未定义。,E071
LEGACY-E072,继承-320场景,SYS,写回与恢复,写回与崩溃,ActionReceipt 重复到达两次,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,ActionReceipt 重复到达两次,E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,,幂等键可覆盖该场景。,E072
LEGACY-E073,继承-320场景,SYS,写回与恢复,写回与崩溃,ActionReceipt 乱序到达,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,ActionReceipt 乱序到达,E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,ledger replay 有因果链，但实时 receipt 乱序处理仍不够具体。,E073
LEGACY-E074,继承-320场景,SYS,写回与恢复,写回与崩溃,commitWriteEvents 成功，materialize 半途中崩溃,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,commitWriteEvents 成功，materialize 半途中崩溃,E_WRITE + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,,这是 event-first 设计的强项。,E074
LEGACY-E075,继承-320场景,SYS,写回与恢复,写回与崩溃,materialize 成功，但 applied_at 未写入,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,materialize 成功，但 applied_at 未写入,E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,需要 effect_patch 幂等或 applied_at 与 patch 原子提交。,E075
LEGACY-E076,继承-320场景,SYS,写回与恢复,写回与崩溃,snapshot 创建期间又有新事件进入,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,snapshot 创建期间又有新事件进入,E_WRITE + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,文档提 snapshot，但未展开 checkpoint 协议。,E076
LEGACY-E077,继承-320场景,SYS,写回与恢复,写回与崩溃,同一 durable 事件被两个 worker 同时 materialize,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,同一 durable 事件被两个 worker 同时 materialize,E_WRITE + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I05,I15",WritebackLedger 没有定义 materializer 互斥。,E077
LEGACY-E078,继承-320场景,SYS,写回与恢复,写回与崩溃,ephemeral 状态误入 ledger 造成重放噪声,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,ephemeral 状态误入 ledger 造成重放噪声,E_WRITE + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,缺 durable/ephemeral 明确边界。,E078
LEGACY-E079,继承-320场景,SYS,写回与恢复,写回与崩溃,重要承诺没入 ledger 仅写了 working memory,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,重要承诺没入 ledger 仅写了 working memory,E_WRITE + E_ACTIVITY,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,需要更清楚的 durable 判定器。,E079
LEGACY-E080,继承-320场景,SYS,写回与恢复,写回与崩溃,two-phase path 中 world.submitAction 超时但动作实际执行,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,two-phase path 中 world.submitAction 超时但动作实际执行,E_WRITE + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,当前文本缺查询/补偿路径。,E080
LEGACY-E081,继承-320场景,SYS,写回与恢复,写回与崩溃,重放时目标对象已不存在,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,重放时目标对象已不存在,E_WRITE + E_CLOSE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I04,I15",重放前对象存在性规则未形式化。,E081
LEGACY-E082,继承-320场景,SYS,写回与恢复,写回与崩溃,因果父链中某个 parent 丢失,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,因果父链中某个 parent 丢失,E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,缺 parent 缺失时的恢复策略。,E082
LEGACY-E083,继承-320场景,SYS,写回与恢复,写回与崩溃,notification 幂等键与 write event 幂等键域冲突,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,notification 幂等键与 write event 幂等键域冲突,E_OPS + E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,需要不同事件域的命名空间。,E083
LEGACY-E084,继承-320场景,SYS,写回与恢复,写回与崩溃,durable write 在网络分区期间本地成功、远端真源失败,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,durable write 在网络分区期间本地成功、远端真源失败,E_WRITE + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,当前更像单主真源假设，跨分区一致性未展开。,E084
LEGACY-E085,继承-320场景,SYS,写回与恢复,写回与崩溃,receipt 成功但 buildEffectPatch 使用了错误上下文,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,receipt 成功但 buildEffectPatch 使用了错误上下文,E_WRITE + E_ACTIVITY,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I01,I04",active_key/object_ref 一致性约束不足。,E085
LEGACY-E086,继承-320场景,SYS,写回与恢复,写回与崩溃,memory_index 已持久化但 memory 内容未同步,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,memory_index 已持久化但 memory 内容未同步,E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,总索引提 memory_index，但未定义缺失条目恢复策略。,E086
LEGACY-E087,继承-320场景,SYS,写回与恢复,写回与崩溃,snapshot 与 notification pending 队列版本不一致,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,snapshot 与 notification pending 队列版本不一致,E_RESTART + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I13,I15",缺一致性 checkpoint。,E087
LEGACY-E088,继承-320场景,SYS,写回与恢复,写回与崩溃,obligation 状态已 waived，但旧 pending 副本重放回来,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,obligation 状态已 waived，但旧 pending 副本重放回来,E_WRITE + E_OBL,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,需要版本/序号防止旧事件回滚新状态。,E088
LEGACY-E089,继承-320场景,SYS,写回与恢复,写回与崩溃,ContextClosedEvent 已处理，但旧 message append 晚到,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,ContextClosedEvent 已处理，但旧 message append 晚到,E_CLOSE + E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,需在 append path 检查 context status 与 event epoch。,E089
LEGACY-E090,继承-320场景,SYS,写回与恢复,写回与崩溃,materializeDurableStates 与 ContextClosedEvent 并发,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,materializeDurableStates 与 ContextClosedEvent 并发,E_CLOSE + E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I09,I15",缺统一事务边界。,E090
LEGACY-E091,继承-320场景,SYS,写回与恢复,写回与崩溃,resume_token 要不要 durable,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,resume_token 要不要 durable,E_ACTIVITY + E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,token 重要性随任务而变，但 durable 判定未明确。,E091
LEGACY-E092,继承-320场景,SYS,写回与恢复,写回与崩溃,overload_mode 状态在崩溃后是否恢复,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,overload_mode 状态在崩溃后是否恢复,E_INDEX + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I06,I18",字段有声明，但持久化/恢复未写清。,E092
LEGACY-E093,继承-320场景,SYS,写回与恢复,写回与崩溃,跨 agent shared context 的 durable 写冲突,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,跨 agent shared context 的 durable 写冲突,E_CONCUR + E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I09,部分对象有锁，整体还不够。,E093
LEGACY-E094,继承-320场景,SYS,写回与恢复,写回与崩溃,长期运行后 ledger 无限增长,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,长期运行后 ledger 无限增长,E_WRITE + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,需要正式的 ledger retention/compaction 策略。,E094
LEGACY-E095,继承-320场景,SYS,写回与恢复,写回与崩溃,写回日志损坏导致 replay 中断,场景级,G,T2/T3,PA5/PA6,G1/G3/G7,P0,极端,写回日志损坏导致 replay 中断,E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,当前文档未覆盖存储损坏恢复。,E095
LEGACY-E096,继承-320场景,SYS,网络与时间一致性,网络与时间,clock skew 使 deadline 提前或推后数小时,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,clock skew 使 deadline 提前或推后数小时,E_OBL + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I14,大量时间逻辑依赖绝对时间戳。,E096
LEGACY-E097,继承-320场景,SYS,网络与时间一致性,网络与时间,LocationChanged 事件乱序,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,LocationChanged 事件乱序,E_LOCAL + E_OPS,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I14,I15",LocationChanged 缺版本/epoch。,E097
LEGACY-E098,继承-320场景,SYS,网络与时间一致性,网络与时间,agent 掉线 6 小时后重连,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,agent 掉线 6 小时后重连,E_RESTART + E_STORM,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I13,I18",有恢复思路，但旧字段与 backlog 清理仍不完整。,E098
LEGACY-E099,继承-320场景,SYS,网络与时间一致性,网络与时间,极短网络抖动导致多次重复 submitAction,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,极短网络抖动导致多次重复 submitAction,E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,文档没有端到端 action request 幂等协议。,E099
LEGACY-E100,继承-320场景,SYS,网络与时间一致性,网络与时间,通知传输晚到，晚于 context close,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,通知传输晚到，晚于 context close,E_CLOSE + E_OPS,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,需要 source event epoch。,E100
LEGACY-E101,继承-320场景,SYS,网络与时间一致性,网络与时间,心跳丢失导致误判 agent unavailable,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,心跳丢失导致误判 agent unavailable,E_OBL + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I08,I14",可用性判定过粗。,E101
LEGACY-E102,继承-320场景,SYS,网络与时间一致性,网络与时间,跨设备登录同时演化同一 agent,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,跨设备登录同时演化同一 agent,E_INDEX + E_CONCUR,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I09,I15",单 agent 多副本双活未定义。,E102
LEGACY-E103,继承-320场景,SYS,网络与时间一致性,网络与时间,网络分区时 host 与 member 各自认为自己有主持权,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,网络分区时 host 与 member 各自认为自己有主持权,E_INDEX + E_OBL,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I05,I15",ResourceLease 尚未真正运行化。,E103
LEGACY-E104,继承-320场景,SYS,网络与时间一致性,网络与时间,系统全局暂停 30 分钟再恢复,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,系统全局暂停 30 分钟再恢复,E_RESTART + E_SLEEP,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I14,I13",有 gap 补算，但大暂停的批处理顺序与过期策略未细化。,E104
LEGACY-E105,继承-320场景,SYS,网络与时间一致性,网络与时间,单机 monotonic clock 正常但 wall clock 被管理员手改,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,单机 monotonic clock 正常但 wall clock 被管理员手改,E_COMBO + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I14,没有 monotonic time 抽象。,E105
LEGACY-E106,继承-320场景,SYS,网络与时间一致性,网络与时间,一个节点丢失 warm_messages，只剩 cold archive,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,一个节点丢失 warm_messages，只剩 cold archive,E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,分层消息有方向，但缺降级读取策略。,E106
LEGACY-E107,继承-320场景,SYS,网络与时间一致性,网络与时间,跨地区 agent 在地震期间网络断断续续,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,跨地区 agent 在地震期间网络断断续续,E_LOCAL + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I07,I14,I16",灾害本体与分区语义都不足。,E107
LEGACY-E108,继承-320场景,SYS,网络与时间一致性,网络与时间,WriteEvent 的 causal_parent_ids 指向另一分区未同步事件,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,WriteEvent 的 causal_parent_ids 指向另一分区未同步事件,E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,缺跨分区依赖恢复策略。,E108
LEGACY-E109,继承-320场景,SYS,网络与时间一致性,网络与时间,通知过期时间在夏令时/时区变换中错算,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,通知过期时间在夏令时/时区变换中错算,E_INDEX + E_OPS,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I14,需要统一 UTC/monotonic 约束。,E109
LEGACY-E110,继承-320场景,SYS,网络与时间一致性,网络与时间,前景冷却 10 秒在高延迟网络下毫无意义,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,前景冷却 10 秒在高延迟网络下毫无意义,E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I14,冷却常数需与网络条件关联。,E110
LEGACY-E111,继承-320场景,SYS,网络与时间一致性,网络与时间,掉线期间错过 soft timeout，重连后只看到 strict timeout,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,掉线期间错过 soft timeout，重连后只看到 strict timeout,E_OBL + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I14,时间驱动规则缺事件化历史。,E111
LEGACY-E112,继承-320场景,SYS,网络与时间一致性,网络与时间,participant 列表在网络分区后各自新增成员,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,participant 列表在网络分区后各自新增成员,E_CONCUR + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I09,I15",participants/roles 没有冲突解决策略。,E112
LEGACY-E113,继承-320场景,SYS,网络与时间一致性,网络与时间,batch_queue 里消息按到达顺序而非因果顺序折叠,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,batch_queue 里消息按到达顺序而非因果顺序折叠,E_STORM + E_OPS,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,recent messages 有因果窗口，但 batch collapse 无因果约束。,E113
LEGACY-E114,继承-320场景,SYS,网络与时间一致性,网络与时间,agent 长时间离线后直接收到过期 obligations,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,agent 长时间离线后直接收到过期 obligations,E_OBL + E_RESTART,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I13,I14",缺“先扫后装配”的明确顺序。,E114
LEGACY-E115,继承-320场景,SYS,网络与时间一致性,网络与时间,power restore 后全体同时上线形成 restart storm,场景级,G,T2/T3,PA1/PA5/PA6,G1/G3/G7,P1,极端,power restore 后全体同时上线形成 restart storm,E_RESTART + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I06,I14",重启去同步只覆盖部分流。,E115
LEGACY-E116,继承-320场景,SYS,义务与死锁,义务与死锁,两个 obligation 相互 blocking_on 形成环,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,两个 obligation 相互 blocking_on 形成环,E_OBL + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,可凭超时逃生解围，但 blocking_on 的形式语义未充分定义。,E116
LEGACY-E117,继承-320场景,SYS,义务与死锁,义务与死锁,host 自己也掉线，没人能仲裁,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,host 自己也掉线，没人能仲裁,E_OBL + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,,force close 提供了最后逃生。,E117
LEGACY-E118,继承-320场景,SYS,义务与死锁,义务与死锁,roles 缺失无法找到 host,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,roles 缺失无法找到 host,E_OBL + E_FIELD,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I17,系统还有最终强关，但角色异常缺前置校验。,E118
LEGACY-E119,继承-320场景,SYS,义务与死锁,义务与死锁,同角色候选人其实也在 recovery_lock,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,同角色候选人其实也在 recovery_lock,E_OBL + E_ENERGY,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I01,isAgentAvailable 示例仍读旧 activity_profile/energy 条件过粗。,E119
LEGACY-E120,继承-320场景,SYS,义务与死锁,义务与死锁,多个 overdue obligation 同时转派给同一个人,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,多个 overdue obligation 同时转派给同一个人,E_OBL + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I06,缺负载感知的重分配策略。,E120
LEGACY-E121,继承-320场景,SYS,义务与死锁,义务与死锁,owner 已退出 participants 但 obligation 仍指向他,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,owner 已退出 participants 但 obligation 仍指向他,E_OBL + E_FIELD,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I09,roles/participants 与 obligations 缺一致性维护。,E121
LEGACY-E122,继承-320场景,SYS,义务与死锁,义务与死锁,waived 后又被旧 pending 副本覆盖,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,waived 后又被旧 pending 副本覆盖,E_OBL + E_WRITE,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,需要版本防回滚。,E122
LEGACY-E123,继承-320场景,SYS,义务与死锁,义务与死锁,N-tick 超时与 obligation 超时同时触发,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,N-tick 超时与 obligation 超时同时触发,E_OBL + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I06,两套救援机制缺统一决策器。,E123
LEGACY-E124,继承-320场景,SYS,义务与死锁,义务与死锁,某 obligation 没有 due_at,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,某 obligation 没有 due_at,E_OBL + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,元文档给了 deadline/due_at，但未强制每类 obligation 都带。,E124
LEGACY-E125,继承-320场景,SYS,义务与死锁,义务与死锁,ContextClosedEvent 到来时仍有 blocked obligation,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,ContextClosedEvent 到来时仍有 blocked obligation,E_CLOSE + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,7 态 obligation 的关闭映射还不够细。,E125
LEGACY-E126,继承-320场景,SYS,义务与死锁,义务与死锁,accepted 但未开始的义务是否算 pending close blocker,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,accepted 但未开始的义务是否算 pending close blocker,E_INDEX + E_OBL,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,7 态状态机引入后，closeCondition 需全状态矩阵。,E126
LEGACY-E127,继承-320场景,SYS,义务与死锁,义务与死锁,同一任务被两人同时 satisfy,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,同一任务被两人同时 satisfy,E_CONCUR + E_OBL,沿既定规则闭环；无新增未解释断点；与原文证据一致。,,CAS 可以盖住这一类双满足。,E127
LEGACY-E128,继承-320场景,SYS,义务与死锁,义务与死锁,重新分配后旧 owner 迟到提交结果,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,重新分配后旧 owner 迟到提交结果,E_OBL + E_CONCUR,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I15,示例 satisfyObligation 只看 status，不看 owner/version。,E128
LEGACY-E129,继承-320场景,SYS,义务与死锁,义务与死锁,binding 场的 obligation 太多挤爆 context window,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,binding 场的 obligation 太多挤爆 context window,E_INDEX + E_OBL,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I06,有 identity-first 过滤，但仍缺更细分页/摘要策略。,E129
LEGACY-E130,继承-320场景,SYS,义务与死锁,义务与死锁,owner 身份变化导致 actor_is_superior 失真,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,owner 身份变化导致 actor_is_superior 失真,E_OPS + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I08,RelationInfo 的维护是开放问题。,E130
LEGACY-E131,继承-320场景,SYS,义务与死锁,义务与死锁,force close 后 agent 仍以为自己必须留在场里,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,force close 后 agent 仍以为自己必须留在场里,E_CLOSE + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I03,依赖前景/active_key 清理正确执行。,E131
LEGACY-E132,继承-320场景,SYS,义务与死锁,义务与死锁,host 与 admin 对关闭原因给出冲突 conclusion,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,host 与 admin 对关闭原因给出冲突 conclusion,E_CLOSE + E_CONCUR,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I09,I17",close reason/conclusion 需要单主写者。,E132
LEGACY-E133,继承-320场景,SYS,义务与死锁,义务与死锁,obligation token 无 ttl_sec 永久 pending,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,obligation token 无 ttl_sec 永久 pending,E_INDEX + E_OBL,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I04,元文档强调 TTL/终局，但若 token 缺字段就会卡死。,E133
LEGACY-E134,继承-320场景,SYS,义务与死锁,义务与死锁,多个 bounded 场共享同一 owner，deadline 全同时到,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,多个 bounded 场共享同一 owner，deadline 全同时到,E_OBL + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I06,系统没有全局个人义务预算。,E134
LEGACY-E135,继承-320场景,SYS,义务与死锁,义务与死锁,host 正在睡觉，deadlock arbitration 通知被睡眠保护挡住,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,host 正在睡觉，deadlock arbitration 通知被睡眠保护挡住,E_OBL + E_SLEEP,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I06,仲裁通知优先级矩阵需更强约束。,E135
LEGACY-E136,继承-320场景,SYS,义务与死锁,义务与死锁,owner 已不再是 participants 但仍是 superior,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,owner 已不再是 participants 但仍是 superior,E_OPS + E_FIELD,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I08,I17",需要关系真源与成员表一致性。,E136
LEGACY-E137,继承-320场景,SYS,义务与死锁,义务与死锁,同一 host 被错误重分配为 owner 与 arbitrator,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,同一 host 被错误重分配为 owner 与 arbitrator,E_OBL + E_FIELD,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I17,角色职责矩阵未严密定义。,E137
LEGACY-E138,继承-320场景,SYS,义务与死锁,义务与死锁,context.status=closing 时仍允许新建 obligation,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,context.status=closing 时仍允许新建 obligation,E_CLOSE + E_OBL,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I17,需禁止 closing 阶段新增 obligations。,E138
LEGACY-E139,继承-320场景,SYS,义务与死锁,义务与死锁,strict timeout 赋予 escape_permitted 后 owner 直接退场,场景级,G,T3/T4,PA4/PA6/PA8,G3/G4/G6,P0,极端,strict timeout 赋予 escape_permitted 后 owner 直接退场,E_OBL + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,,这是系统设计允许的生存性优先。,E139
